,release_date,release_year,title,genre,prod_method,creative_type,budget,dom_gross,int_gross,world_gross,release_month
0,2010-06-18,2010,Toy Story 3,Adventure,Digital Animation,Kids Fiction,200000000,415004880,653874642,1068879522.0,June
1,2010-03-05,2010,Alice in Wonderland,Adventure,Animation/Live Action,Fantasy,200000000,334191110,691300000,1025491110.0,March
2,2010-05-07,2010,Iron Man 2,Action,Live Action,Super Hero,170000000,312433331,308723058,621156389.0,May
3,2010-06-30,2010,The Twilight Saga: Eclipse,Drama,Live Action,Fantasy,68000000,300531751,405571077,706102828.0,June
4,2010-11-19,2010,Harry Potter and the Deathly Hallows:…,Adventure,Animation/Live Action,Fantasy,125000000,296131568,661099825,957231393.0,November
5,2010-07-16,2010,Inception,Thriller/Suspense,Animation/Live Action,Science Fiction,160000000,292576195,436006270,728582465.0,July
6,2010-07-09,2010,Despicable Me,Adventure,Digital Animation,Kids Fiction,69000000,251513985,291950588,543464573.0,July
7,2010-05-21,2010,Shrek Forever After,Adventure,Digital Animation,Kids Fiction,165000000,238736787,517507886,756244673.0,May
8,2010-03-26,2010,How to Train Your Dragon,Adventure,Digital Animation,Fantasy,165000000,217581232,277289760,494870992.0,March
9,2010-11-24,2010,Tangled,Musical,Digital Animation,Kids Fiction,260000000,200821936,384905155,585727091.0,November
11,2010-12-17,2010,Tron: Legacy,Adventure,Live Action,Science Fiction,200000000,172062763,228000000,400062763.0,December
12,2010-12-22,2010,True Grit,Western,Live Action,Historical Fiction,35000000,171243005,81033923,252276928.0,December
13,2010-04-01,2010,Clash of the Titans,Action,Live Action,Fantasy,125000000,163214888,330000000,493214888.0,April
14,2010-06-25,2010,Grown Ups,Comedy,Live Action,Contemporary Fiction,75000000,162001186,110221814,272223000.0,June
15,2010-12-22,2010,Little Fockers,Comedy,Live Action,Contemporary Fiction,100000000,148438600,162211974,310650574.0,December
16,2010-11-05,2010,Megamind,Adventure,Digital Animation,Kids Fiction,130000000,148415853,173471355,321887208.0,November
17,2010-11-26,2010,The Kingâs Speech,Drama,Live Action,Dramatization,15000000,138797449,292023719,430821168.0,November
18,2010-07-01,2010,The Last Airbender,Adventure,Live Action,Fantasy,150000000,131772187,187941694,319713881.0,July
20,2010-08-06,2010,The Other Guys,Comedy,Live Action,Contemporary Fiction,100000000,119219978,51716492,170936470.0,August
21,2010-07-23,2010,Salt,Thriller/Suspense,Live Action,Contemporary Fiction,130000000,118311368,172339126,290650494.0,July
22,2010-10-15,2010,Jackass 3D,Comedy,Live Action,Factual,20000000,117229692,54456101,171685793.0,October
24,2010-12-03,2010,Black Swan,Thriller/Suspense,Live Action,Contemporary Fiction,13000000,106954678,224312032,331266710.0,December
25,2010-05-14,2010,Robin Hood,Action,Live Action,Historical Fiction,210000000,105487148,216971858,322459006.0,May
26,2010-12-10,2010,The Chronicles of Narnia: The Voyage …,Adventure,Animation/Live Action,Fantasy,155000000,104386950,313800000,418186950.0,December
27,2010-08-13,2010,The Expendables,Action,Live Action,Contemporary Fiction,82000000,103068524,165199650,268268174.0,August
28,2010-11-05,2010,Due Date,Comedy,Live Action,Contemporary Fiction,65000000,100539043,111200000,211739043.0,November
29,2010-12-17,2010,Yogi Bear,Adventure,Animation/Live Action,Kids Fiction,80000000,100246011,104528679,204774690.0,December
30,2010-04-09,2010,Date Night,Comedy,Live Action,Contemporary Fiction,55000000,98711404,53557629,152269033.0,April
31,2010-10-01,2010,The Social Network,Drama,Live Action,Dramatization,40000000,96962694,127959441,224922135.0,October
32,2010-05-27,2010,Sex and the City 2,Comedy,Live Action,Contemporary Fiction,95000000,95347692,199333086,294680778.0,May
33,2010-01-15,2010,The Book of Eli,Action,Live Action,Science Fiction,80000000,94835059,63915758,158750817.0,January
34,2010-12-10,2010,The Fighter,Drama,Live Action,Dramatization,11000000,93617009,35645379,129262388.0,December
35,2010-09-17,2010,The Town,Thriller/Suspense,Live Action,Contemporary Fiction,37000000,92186262,60380619,152566881.0,September
36,2010-05-28,2010,Prince of Persia: Sands of Time,Action,Live Action,Fantasy,200000000,90759676,245600000,336359676.0,May
37,2010-10-15,2010,Red,Action,Live Action,Contemporary Fiction,60000000,90380162,106059531,196439693.0,October
38,2010-02-12,2010,Percy Jackson & the Olympians: The Li…,Adventure,Live Action,Fantasy,95000000,88768303,134282571,223050874.0,February
39,2010-10-20,2010,Paranormal Activity 2,Horror,Live Action,Contemporary Fiction,3000000,84752907,92759125,177512032.0,October
40,2010-11-12,2010,Unstoppable,Action,Live Action,Dramatization,95000000,81562942,84157979,165720921.0,November
41,2010-08-13,2010,Eat Pray Love,Drama,Live Action,Contemporary Fiction,60000000,80574010,126024779,206598789.0,August
42,2010-02-05,2010,Dear John,Drama,Live Action,Contemporary Fiction,25000000,80014842,62018667,142033509.0,February
43,2010-06-11,2010,The A-Team,Action,Live Action,Contemporary Fiction,110000000,77222099,100019072,177241171.0,June
44,2010-06-23,2010,Knight and Day,Action,Live Action,Contemporary Fiction,117000000,76423035,182328335,258751370.0,June
45,2010-07-30,2010,Dinner for Schmucks,Comedy,Live Action,Contemporary Fiction,69000000,73026337,13770165,86796502.0,July
46,2010-12-10,2010,The Tourist,Thriller/Suspense,Live Action,Contemporary Fiction,100000000,67631157,211100212,278731369.0,December
47,2010-03-19,2010,The Bounty Hunter,Romantic Comedy,Live Action,Contemporary Fiction,45000000,67061228,68747609,135808837.0,March
48,2010-03-19,2010,Diary of a Wimpy Kid,Adventure,Live Action,Contemporary Fiction,15000000,64003625,12950686,76954311.0,March
49,2010-07-14,2010,The Sorcerer's Apprentice,Adventure,Animation/Live Action,Fantasy,160000000,63150991,154835329,217986320.0,July
50,2010-04-30,2010,A Nightmare on Elm Street,Horror,Live Action,Contemporary Fiction,35000000,63075011,54654610,117729621.0,April
52,2010-02-12,2010,The Wolfman,Horror,Live Action,Historical Fiction,150000000,62189884,80444474,142634358.0,February
53,2010-06-04,2010,Get Him to the Greek,Comedy,Live Action,Contemporary Fiction,40000000,61153526,31841401,92994927.0,June
