,title,production_year,budget,dom_gross,int_gross,creative_type,prod_method,genre
0,Madea's Family Reunion,2006,10000000,63257940,62581,Contemporary Fiction,Live Action,Comedy
1,Krrish,2006,10000000,1430721,31000000,Science Fiction,Live Action,Action
2,End of the Spear,2006,10000000,11748661,175380,Historical Fiction,Live Action,Drama
3,A Prairie Home Companion,2006,10000000,20342852,6373339,Contemporary Fiction,Live Action,Comedy
4,Saw III,2006,10000000,80238724,83638091,Contemporary Fiction,Live Action,Horror
5,Employee of the Month,2006,10000000,28444855,9920000,Contemporary Fiction,Live Action,Comedy
6,Edmond,2006,10000000,131719,110000,Contemporary Fiction,Live Action,Black Comedy
7,Peaceful Warrior,2006,10000000,2893666,366513,Dramatization,Live Action,Drama
8,Turistas,2006,10000000,7027762,7293308,Contemporary Fiction,Live Action,Thriller/Suspense
9,Kabhi Alvida Naa Kehna,2006,10750000,3275443,29300000,Contemporary Fiction,Live Action,Drama
10,Jackass: Number Two,2006,11000000,72778712,12500000,Factual,Live Action,Comedy
11,Copying Beethoven,2006,11000000,355968,6230356,Dramatization,Live Action,Drama
12,For Your Consideration,2006,12000000,5549923,0,Contemporary Fiction,Live Action,Comedy
13,Crank,2006,12000000,27838408,16086515,Contemporary Fiction,Live Action,Action
14,Fateless,2006,12000000,196857,0,Historical Fiction,Live Action,Drama
15,Running With Scissors,2006,12000000,6860000,1846701,Dramatization,Live Action,Comedy
16,Step Up,2006,12000000,65328121,45661036,Contemporary Fiction,Live Action,Drama
17,Find Me Guilty,2006,13000000,1173673,1724552,Dramatization,Live Action,Drama
18,Infamous,2006,13000000,1151330,1462387,Dramatization,Live Action,Drama
19,Letters from Iwo Jima,2006,13000000,13756082,54111916,Historical Fiction,Live Action,Drama
20,Little Children,2006,14000000,5463019,8658158,Contemporary Fiction,Live Action,Drama
21,Catch a Fire,2006,14000000,4299773,1482425,Dramatization,Live Action,Thriller/Suspense
22,Bobby,2006,14000000,11242801,9355005,Dramatization,Live Action,Drama
23,An American Haunting,2006,14000000,16298046,14145231,Historical Fiction,Live Action,Horror
24,Manderlay,2006,14200000,74205,469101,Historical Fiction,Live Action,Drama
25,Idlewild,2006,15000000,12669914,0,Historical Fiction,Live Action,Musical
26,The Marine,2006,15000000,18844784,3320824,Contemporary Fiction,Live Action,Action
27,The Queen,2006,15000000,56441711,72444162,Dramatization,Live Action,Drama
28,Flicka,2006,15000000,21000147,896220,Contemporary Fiction,Live Action,Drama
29,Hoot,2006,15000000,8117637,107361,Contemporary Fiction,Live Action,Adventure
30,When a Stranger Calls,2006,15000000,47860214,19355221,Contemporary Fiction,Live Action,Horror
31,Slither,2006,15250000,7802450,5127893,Science Fiction,Live Action,Horror
32,El Laberinto del Fauno,2006,16000000,37634615,49406954,Historical Fiction,Live Action,Horror
