,release_date,release_year,title,genre,prod_method,dom_gross,int_gross,world_gross,release_month,release_season
0,"Dec 18, 2015",2015,Star Wars Ep. VII: The Force Awakens,Adventure,Animation/Live Action,936662225,1128815859,2065478084,December,Fall
1,"Jun 12, 2015",2015,Jurassic World,Action,Live Action,652270625,1017673342,1669943967,June,Spring
2,"May 1, 2015",2015,Avengers: Age of Ultron,Action,Animation/Live Action,459005868,937093334,1396099202,May,Spring
3,"Jun 19, 2015",2015,Inside Out,Adventure,Digital Animation,356461711,498748492,855210203,June,Spring
4,"Apr 3, 2015",2015,Furious 7,Action,Live Action,353007020,1165715774,1518722794,April,Spring
5,"Jul 10, 2015",2015,Minions,Adventure,Digital Animation,336045770,823585370,1159631140,July,Summer
6,"Nov 20, 2015",2015,The Hunger Games: Mockingjay - Part 2,Thriller/Suspense,Live Action,281723902,367262885,648986787,November,Fall
7,"Oct 2, 2015",2015,The Martian,Thriller/Suspense,Live Action,228433663,426760537,655194200,October,Fall
8,"Mar 13, 2015",2015,Cinderella,Drama,Live Action,201151353,333400000,534551353,March,Winter
9,"Nov 6, 2015",2015,Spectre,Action,Live Action,200074175,679426585,879500760,November,Fall
10,"Jul 31, 2015",2015,Mission: ImpossibleâRogue Nation,Action,Live Action,195042377,493816615,688858992,July,Summer
11,"May 15, 2015",2015,Pitch Perfect 2,Comedy,Live Action,184296230,103329238,287625468,May,Spring
12,"Dec 25, 2015",2015,The Revenant,Adventure,Live Action,183637894,349300408,532938302,December,Fall
13,"Jul 17, 2015",2015,Ant-Man,Action,Live Action,180202163,338656286,518858449,July,Summer
14,"Mar 27, 2015",2015,Home,Adventure,Digital Animation,177397510,208600386,385997896,March,Winter
15,"Sep 25, 2015",2015,Hotel Transylvania 2,Adventure,Digital Animation,169700110,299800188,469500298,September,Summer
16,"Feb 13, 2015",2015,Fifty Shades of Grey,Drama,Live Action,166167230,404830871,570998101,February,Winter
17,"Feb 6, 2015",2015,The SpongeBob Movie: Sponge Out of Water,Adventure,Animation/Live Action,162994032,148019149,311013181,February,Winter
18,"Aug 14, 2015",2015,Straight Outta Compton,Drama,Live Action,161197785,40985196,202182981,August,Summer
19,"May 29, 2015",2015,San Andreas,Adventure,Live Action,155190832,301067707,456258539,May,Spring
20,"May 15, 2015",2015,Mad Max: Fury Road,Action,Live Action,153636354,214607282,368243636,May,Spring
21,"Dec 25, 2015",2015,Daddyâs Home,Comedy,Live Action,150357137,91147852,241504989,December,Fall
22,"Mar 20, 2015",2015,The Divergent Series: Insurgent,Action,Live Action,130179072,164896810,295075882,March,Winter
23,"Nov 6, 2015",2015,The Peanuts Movie,Adventure,Digital Animation,130178411,119913199,250091610,November,Fall
24,"Feb 13, 2015",2015,Kingsman: The Secret Service,Action,Live Action,128261724,276300000,404561724,February,Winter
25,"Nov 25, 2015",2015,The Good Dinosaur,Adventure,Digital Animation,123087120,210683917,333771037,November,Fall
26,"Jun 5, 2015",2015,Spy!,Comedy,Live Action,110825712,121760036,232585748,June,Spring
27,"Jul 17, 2015",2015,Trainwreck,Comedy,Live Action,110212700,30911197,141123897,July,Summer
28,"Nov 25, 2015",2015,Creed,Drama,Live Action,109767581,63800000,173567581,November,Fall
29,"May 22, 2015",2015,Tomorrowland,Adventure,Live Action,93436322,113191196,206627518,May,Spring
30,"Mar 27, 2015",2015,Get Hard,Comedy,Live Action,90411453,16100000,106511453,March,Winter
31,"Jul 1, 2015",2015,Terminator: Genisys,Action,Live Action,89760956,342389938,432150894,July,Summer
32,"Dec 18, 2015",2015,Sisters,Comedy,Live Action,87044645,18986015,106030660,December,Fall
33,"Dec 18, 2015",2015,Alvin and the Chipmunks: The Road Chip,Adventure,Animation/Live Action,85886987,163630969,249517956,December,Fall
34,"Sep 18, 2015",2015,Maze Runner: The Scorch Trials,Thriller/Suspense,Live Action,81697192,228868970,310566162,September,Summer
35,"Jun 26, 2015",2015,Ted 2,Comedy,Animation/Live Action,81476385,135737758,217214143,June,Spring
36,"Oct 16, 2015",2015,Goosebumps,Horror,Animation/Live Action,80069458,78835866,158905324,October,Fall
37,"Jul 24, 2015",2015,Pixels,Adventure,Animation/Live Action,78765986,165275818,244041804,July,Summer
38,"Jan 16, 2015",2015,Paddington,Adventure,Animation/Live Action,76223578,181706765,257930343,January,Winter
39,"Sep 25, 2015",2015,The Intern,Comedy,Live Action,75764672,121351038,197115710,September,Summer
40,"Oct 16, 2015",2015,Bridge of Spies,Thriller/Suspense,Live Action,72313754,90184584,162498338,October,Fall
41,"Apr 17, 2015",2015,Paul Blart: Mall Cop 2,Adventure,Live Action,71091594,36559052,107650646,April,Spring
42,"Dec 11, 2015",2015,The Big Short,Drama,Live Action,70259870,62902882,133162752,December,Fall
43,"Aug 28, 2015",2015,War Room,Drama,Live Action,67790117,6196787,73986904,August,Summer
44,"Jul 1, 2015",2015,Magic Mike XXL,Comedy,Live Action,66013057,57647540,123660597,July,Summer
45,"Sep 11, 2015",2015,The Visit,Thriller/Suspense,Live Action,65206105,33471711,98677816,September,Summer
46,"Jan 16, 2015",2015,The Wedding Ringer,Comedy,Live Action,64460211,15711385,80171596,January,Winter
47,"Sep 18, 2015",2015,Black Mass,Drama,Live Action,62575678,36262194,98837872,September,Summer
48,"Jul 29, 2015",2015,Vacation,Comedy,Live Action,58884188,43422312,102306500,July,Summer
49,"Sep 11, 2015",2015,The Perfect Guy,Thriller/Suspense,Live Action,57027435,3250731,60278166,September,Summer
50,"Dec 25, 2015",2015,Joy,Drama,Live Action,56451232,44682827,101134059,December,Fall
51,"Aug 7, 2015",2015,Fantastic Four,Action,Live Action,56117548,111731639,167849187,August,Summer
52,"Dec 25, 2015",2015,The Hateful Eight,Western,Live Action,54117416,93985457,148102873,December,Fall
53,"Feb 27, 2015",2015,Focus,Romantic Comedy,Live Action,53862963,114202737,168065700,February,Winter
54,"Jul 24, 2015",2015,Southpaw,Drama,Live Action,52421953,41734503,94156456,July,Summer
55,"Jun 5, 2015",2015,Insidious Chapter 3,Horror,Live Action,52218558,68234597,120453155,June,Spring
